Date,Unit,Position,Shift,Left Flange,Rim Thickness,Right Flange,Reason,Final,Rim Loss Calc,Cuts
8/30/17,8757,1,2,4,33,4,TF,28,5,9
8/30/17,8757,2,2,0,34,0,MM,32,2,5
8/30/17,8757,3,3,0,26,0,MM,22,4,5
8/30/17,8757,4,3,0,25,0,HF,23,2,4
8/30/17,8757,5,3,0,26,0,HF,25,1,2
8/31/17,9619,3,2,0,21,0,HF,21,0,5
8/31/17,9619,1,2,0,22,0,HF,21,1,5
9/2/17,2249,1,3,0,25,0,Shells,21,4,4
9/2/17,2249,2,3,0,24,0,Shells,21,3,3
9/2/17,2249,3,3,0,24,0,Shells,20,4,4
9/2/17,2249,4,3,0,24,0,Shells,21,3,3
9/3/17,8603,2,1,0,26,3,NF,20,6,9
9/3/17,8603,1,1,5,23,5,HF,23,0,4
9/3/17,8603,3,1,0,27,0,MM,24,3,5
9/3/17,8603,4,2,4,32,0,TF,26,6,9
9/3/17,8603,5,3,4,31,4,HF,27,4,9
9/6/17,4937,4,1,0,32,0,Shells,30,2,3
9/6/17,4937,3,2,0,32,0,Shells,29,3,4
9/6/17,4937,1,2,0,32,0,Shells,30,2,4
9/6/17,4937,2,2,0,35,0,Shells,33,2,7
9/9/17,8538,6,3,0,24,4,TF,19,5,4
9/10/17,8538,1,1,0,28,0,HF,27,1,3
9/10/17,8538,3,1,2,28,0,HF/TF,25,3,5
9/10/17,8538,4,2,0,34,3,HF/TF,26,8,8
9/10/17,8538,5,2,0,32,0,HF/MM,30,2,9
9/13/17,3086,4,2,2,33,2,Shells,26,7,6
9/13/17,3086,3,2,3,24,3,Shells,16,8,
9/13/17,3086,1,3,0,24,3,,16,8,8
9/17/17,9705,4,3,3,18,3,TF,13,5,5
9/17/17,9705,5,3,0,19,0,HF,18,1,4
9/17/17,9705,6,3,0,17,0,HF,16,1,3
9/19/17,2255,4,1,0,45,0,HF/Shells,42,3,6
9/19/17,2255,2,1,0,44,0,HF/Shells,43,1,5
9/19/17,2255,1,2,0,45,0,HF/Shells,43,2,5
9/19/17,9654,5,3,0,20,6,TF,14,6,6
9/20/17,9654,2,1,6,24,0,TF,17,7,7
9/20/17,9654,1,1,0,27,0,W/MM,21,6,6
