uID,RN,Amount Removed (1/16),Reason,Axle Position,Side,WT Start Rim,ES Start Rim,Start Difference,WT Removed,Flange Condition Bool,CDSS,CDFIM,CDSWC
GoldenBC 2014-09-26 08:49:00 L,9830,-13.030544881889767,High Flange,1,L,2.0,1.063,0.937,3.11381,TRUE,1093.42444,1073.48035,1060.57239
GoldenBC 2014-09-26 08:49:00 R,9830,-14.038544881889766,High Flange,1,R,2.0,1.0,1.0,3.11381,TRUE,1093.42444,1073.48035,1060.57239
GoldenBC 2014-10-23 17:24:00 L,8574,9.190028346456689,Out of Gauge,1,L,1.625,1.813,-0.18799999999999994,9.81397,FALSE,1175.15417,1070.33008,1028.12207
GoldenBC 2014-10-23 17:24:00 R,8574,9.190028346456689,Out of Gauge,1,R,1.625,1.813,-0.18799999999999994,9.81397,FALSE,1175.15417,1070.33008,1028.12207
GoldenBC 2014-10-23 19:53:00 L,8574,7.268081889763778,Out of Gauge,3,L,1.5000000000000002,1.688,-0.18799999999999972,6.76288,FALSE,1184.37012,1057.43823,1027.87415
GoldenBC 2014-10-23 19:53:00 R,8574,9.268081889763778,Out of Gauge,3,R,1.5000000000000002,1.813,-0.3129999999999997,6.76288,FALSE,1184.37012,1057.43823,1027.87415
GoldenBC 2014-10-25 06:43:00 L,9759,2.153763779527555,High Flange,1,L,1.3125,1.313,-0.0004999999999999449,3.4064,TRUE,1138.57812,1047.97021,1025.06213
GoldenBC 2014-10-25 06:43:00 L,9759,2.153763779527555,High Flange,1,L,1.3125,1.313,-0.0004999999999999449,3.4064,TRUE,1138.57812,1047.97021,1025.06213
GoldenBC 2014-10-25 06:43:00 R,9759,2.153763779527555,High Flange,1,R,1.3125,1.313,-0.0004999999999999449,3.4064,TRUE,1138.57812,1047.97021,1025.06213
GoldenBC 2014-10-25 06:43:00 R,9759,2.153763779527555,High Flange,1,R,1.3125,1.313,-0.0004999999999999449,3.4064,TRUE,1138.57812,1047.97021,1025.06213
GoldenBC 2014-11-22 09:11:00 L,8650,4.81567874015748,Thin Flange,4,L,1.375,1.25,0.125,10.81989,TRUE,1165.64209,1044.86621,1013.41016
