Book Page,Road Num,Customer,Make,Model ,Fleet,Date ,Position,Reason ,B4,After ,Rim Loss ,OSR,Cuts,Name 
119,9755,CP,GE,AC4400CW,CP6,3/24/17,5,FLAT SPOT,30,29,1,20,2,RH 
119,1050,CEFX,GE,AC4400CW,CPL-CIT2,3/26/17,1,HF/NF,31,27,4,18,5,BP
119,1050,CEFX,GE,AC4400CW,CPL-CIT2,3/26/17,2,HF/NF,33,28,5,19,5,BP
119,1050,CEFX,GE,AC4400CW,CPL-CIT2,3/26/17,3,HF  ,36,32,4,23,4,BP
119,1050,CEFX,GE,AC4400CW,CPL-CIT2,3/26/17,4,HF  ,36,33,3,24,3,BP
119,1050,CEFX,GE,AC4400CW,CPL-CIT2,3/26/17,5,HF  ,33,32,1,23,3,BP
119,1050,CEFX,GE,AC4400CW,CPL-CIT2,3/26/17,6,HF/NF,33,29,4,20,4,BP
119,5041,CP,OTHER,NA,NA,3/27/17,2,MM,50,47,3,37,3,TA
119,5041,CP,OTHER,NA,NA,3/27/17,5,SHELLS,44,42,2,32,2,TA
119,5041,CP,OTHER,NA,NA,3/27/17,6,MM,50,47,3,37,3,TA
119,8819,CP,GE,ES44ACTA,CP9,3/27/17,1,HF,25,24,1,14,2,DC
119,8819,CP,GE,ES44ACTA,CP9,3/27/17,2,HF,28,26,2,17,3,DC
119,8819,CP,GE,ES44ACTA,CP9,3/27/17,3,HF,26,25,1,15,3,DC
119,8819,CP,GE,ES44ACTA,CP9,3/28/17,4,HF,25,23,2,15,2,IB/CJ
119,8819,CP,GE,ES44ACTA,CP9,3/28/17,5,HF,27,26,1,17,2,IB/CJ
119,8819,CP,GE,ES44ACTA,CP9,3/28/17,6,HF,26,25,1,15,2,IB/CJ
119,8814,CP,GE,ES44ACTA,CP9,3/30/17,1,HF,25,22,3,13,3,IB/CJ
119,8814,CP,GE,ES44ACTA,CP9,3/30/17,2,HF,27,26,1,17,2,IB/CJ
119,8814,CP,GE,ES44ACTA,CP9,3/30/17,3,HF,28,26,2,17,2,IB/CJ
119,8814,CP,GE,ES44ACTA,CP9,3/30/17,4,HF,26,25,1,17,2,IB/CJ
119,8814,CP,GE,ES44ACTA,CP9,3/30/17,5,HF,27,26,1,17,2,IB/CJ
119,8814,CP,GE,ES44ACTA,CP9,3/30/17,6,HF,29,28,1,20,2,IB/CJ
119,9800,CP,GE,AC4400CW,CP7,3/31/17,6,SHELLS,33,30,3,21,3,TA
119,9800,CP,GE,AC4400CW,CP7,3/31/17,5,SHELLS,32,30,2,21,3,TA
119,9800,CP,GE,AC4400CW,CP7,3/31/17,4,SHELLS,27,26,1,17,2,TA
119,9800,CP,GE,AC4400CW,CP7,3/31/17,1,SHELLS,28,27,1,18,2,TA
119,9800,CP,GE,AC4400CW,CP7,3/31/17,3,SHELLS,30,28,2,19,2,TA
121,7707,CSX,GE,40CWEF,CSX3AT,4/1/17,3,WILD,19,17,2,7,3,TA
121,8746,CP,GE,ES44ACTA,CP8,4/1/17,1,HF,27,26,1,17,3,TA
121,8746,CP,GE,ES44ACTA,CP8,4/1/17,2,HF,29,28,1,19,3,TA
121,8746,CP,GE,ES44ACTA,CP8,4/1/17,3,HF,31,29,2,20,3,TA
121,8746,CP,GE,ES44ACTA,CP8,4/1/17,4,NF,30,22,8,13,5,TA
121,8746,CP,GE,ES44ACTA,CP8,4/1/17,5,HF,28,26,2,17,3,TA
121,8746,CP,GE,ES44ACTA,CP8,4/1/17,6,HF,30,26,4,17,3,TA
121,2296,CP,OTHER,NA,NA,4/2/17,1,NF SHELLS,37,34,3,24,3,TA
121,2296,CP,OTHER,NA,NA,4/2/17,2,NF SHELLS,43,40,3,30,3,TA
121,2296,CP,OTHER,NA,NA,4/2/17,3,SHELLS,48,45,3,35,3,TA
121,2296,CP,OTHER,NA,NA,4/2/17,4,NF SHELLS,50,47,3,37,3,TA
121,8917,CP,GE,ES44AC,CP11,4/2/17,1,HF,35,34,1,24,2,DC
121,8917,CP,GE,ES44AC,CP11,4/2/17,2,HF,35,34,1,24,2,DC
121,8917,CP,GE,ES44AC,CP11,4/2/17,3,HF,35,34,1,24,2,DC
121,8917,CP,GE,ES44AC,CP11,4/2/17,4,HF,35,34,1,24,2,DC
121,8917,CP,GE,ES44AC,CP11,4/2/17,5,HF,35,34,1,24,2,DC
121,8917,CP,GE,ES44AC,CP11,4/2/17,6,HF,35,34,1,24,2,DC
121,3083,CP,EMD,GP38,CPFF,4/3/17,4,SHELLS,50,47,3,37,2,TA
121,3083,CP,EMD,GP38,CPFF,4/3/17,3,SHELLS,47,46,1,36,2,TA
121,3083,CP,EMD,GP38,CPFF,4/3/17,2,SHELLS,48,45,3,35,3,TA
121,3083,CP,EMD,GP38,CPFF,4/3/17,1,SHELLS,50,45,5,39,2,TA
121,4002,CP,EMD,GP40-2,CPFF,4/3/17,4,SHELLS,19,17,2,7,2,TA
121,3018,CP,EMD,GP38,CPFF,4/4/17,2,SHELLS,30,26,4,16,4,IB/CJ
123,2283,CP,OTHER,NA,NA,4/4/17,1,HF,45,44,1,34,3,DC
123,2283,CP,OTHER,NA,NA,4/4/17,2,HF,45,44,1,34,3,DC
123,2283,CP,OTHER,NA,NA,4/4/17,3,HF,46,44,2,34,3,DC
123,2283,CP,OTHER,NA,NA,4/4/17,4,HF,46,44,2,34,3,DC
123,8234,CP,EMD,GP9,CPFF,4/6/17,1,SHELLS,22,18,4,8,4,CJ/HB
123,2201,CP,EMD,GP20CECO,CPFF,4/6/17,4,SHELLS,44,43,1,34,2,RH 
